id,name,type,parentId,areaCode
1,中国,1,0,-
2,蒙古,1,0,-
3,朝鲜,1,0,-
4,韩国,1,0,-
5,日本,1,0,-
6,菲律宾,1,0,-
7,越南,1,0,-
8,老挝,1,0,-
9,柬埔寨,1,0,-
10,缅甸,1,0,-
11,泰国,1,0,-
12,马来西亚,1,0,-
13,文莱,1,0,-
14,新加坡,1,0,-
15,印度尼西亚,1,0,-
16,东帝汶,1,0,-
17,尼泊尔,1,0,-
18,不丹,1,0,-
19,孟加拉国,1,0,-
20,印度,1,0,-
21,巴基斯坦,1,0,-
22,斯里兰卡,1,0,-
23,马尔代夫,1,0,-
24,哈萨克斯坦,1,0,-
25,吉尔吉斯斯坦,1,0,-
26,塔吉克斯坦,1,0,-
27,乌兹别克斯坦,1,0,-
28,土库曼斯坦,1,0,-
29,阿富汗,1,0,-
30,伊拉克,1,0,-
31,伊朗,1,0,-
32,叙利亚,1,0,-
33,约旦,1,0,-
34,黎巴嫩,1,0,-
35,以色列,1,0,-
36,巴勒斯坦,1,0,-
37,沙特阿拉伯,1,0,-
38,巴林,1,0,-
39,卡塔尔,1,0,-
40,科威特,1,0,-
41,阿拉伯联合酋长国,1,0,-
42,阿曼,1,0,-
43,也门,1,0,-
44,格鲁吉亚,1,0,-
45,亚美尼亚,1,0,-
46,阿塞拜疆,1,0,-
47,土耳其,1,0,-
48,塞浦路斯,1,0,-
49,芬兰,1,0,-
50,瑞典,1,0,-
51,挪威,1,0,-
52,冰岛,1,0,-
53,丹麦,1,0,-
54,爱沙尼亚,1,0,-
55,拉脱维亚,1,0,-
56,立陶宛,1,0,-
57,白俄罗斯,1,0,-
58,俄罗斯,1,0,-
59,乌克兰,1,0,-
60,摩尔多瓦,1,0,-
61,波兰,1,0,-
62,捷克,1,0,-
63,斯洛伐克,1,0,-
64,匈牙利,1,0,-
65,德国,1,0,-
66,奥地利,1,0,-
67,瑞士,1,0,-
68,列支敦士登,1,0,-
69,英国,1,0,-
70,爱尔兰,1,0,-
71,荷兰,1,0,-
72,比利时,1,0,-
73,卢森堡,1,0,-
74,法国,1,0,-
75,摩纳哥,1,0,-
76,罗马尼亚,1,0,-
77,保加利亚,1,0,-
78,塞尔维亚,1,0,-
79,马其顿,1,0,-
80,阿尔巴尼亚,1,0,-
81,希腊,1,0,-
82,斯洛文尼亚,1,0,-
83,克罗地亚,1,0,-
84,波斯尼亚和墨塞哥维那,1,0,-
85,意大利,1,0,-
86,梵蒂冈,1,0,-
87,圣马力诺,1,0,-
88,马耳他,1,0,-
89,西班牙,1,0,-
90,葡萄牙,1,0,-
91,安道尔共和国,1,0,-
92,埃及,1,0,-
93,利比亚,1,0,-
94,苏丹,1,0,-
95,突尼斯,1,0,-
96,阿尔及利亚,1,0,-
97,摩洛哥,1,0,-
98,亚速尔群岛,1,0,-
99,马德拉群岛,1,0,-
100,埃塞俄比亚,1,0,-
101,厄立特里亚,1,0,-
102,索马里,1,0,-
103,吉布提,1,0,-
104,肯尼亚,1,0,-
105,坦桑尼亚,1,0,-
106,乌干达,1,0,-
107,卢旺达,1,0,-
108,布隆迪,1,0,-
109,塞舌尔,1,0,-
110,圣多美及普林西比,1,0,-
111,塞内加尔,1,0,-
